sex,age,educ,income,religion,sg1,sg9,sc1,sc7b,pi1,pm3,vp1,vdn1b,pid1,med1
2,51.0,3,2,4,2,2,2,0,4,0,2,FDP,2,0
1,76.0,9,1,0,2,2,8,0,2,0,2,FDP,0,0
2,34.0,7,3,2,2,2,2,0,4,0,2,GLP,1,0
1,80.0,7,0,3,2,2,8,0,2,0,2,CVP,2,0
1,44.0,8,0,4,2,2,7,0,2,0,2,PdA,2,0
1,37.0,8,3,4,2,2,7,0,3,0,2,FDP,1,0
1,49.0,4,4,2,1,2,7,0,4,0,2,PdA,2,0
2,75.0,9,1,1,1,1,8,0,2,0,2,FDP,0,0
2,33.0,9,1,1,3,2,2,0,2,0,2,FDP,2,0
1,35.0,7,5,2,2,2,7,0,2,0,2,GLP,0,0
2,40.0,5,2,2,1,2,2,0,2,0,2,FDP,2,0
2,30.0,8,0,4,2,2,2,0,4,0,2,SVP,2,0
2,54.0,9,0,3,2,2,2,0,2,0,2,SVP,2,0
2,80.0,9,5,1,2,2,8,0,2,0,2,FDP,2,0
1,54.0,1,0,4,1,1,7,0,2,0,2,SP,2,0
2,19.0,9,3,2,2,2,7,0,2,0,2,SP,1,0
1,56.0,4,4,3,3,2,2,0,2,0,2,SP,1,0
1,50.0,3,3,1,1,2,7,0,2,0,2,FDP,1,0
2,34.0,3,4,2,2,2,1,0,3,0,2,SVP,2,0
2,67.0,4,0,2,3,2,8,0,2,0,2,SVP,2,0
1,40.0,3,3,4,1,2,7,0,2,0,2,CVP,2,0
2,75.0,9,4,2,2,2,8,0,4,0,2,SVP,1,0
1,67.0,2,5,1,3,2,8,0,3,0,2,SP,2,0
1,41.0,7,3,1,2,2,7,0,4,0,2,SP,2,0
2,73.0,9,4,1,2,1,8,0,3,0,2,SVP,1,0
1,67.0,3,1,1,1,2,8,0,2,0,2,FDP,0,0
2,37.0,5,5,1,2,1,7,0,2,0,2,CSP,1,0
1,58.0,7,2,1,1,2,4,0,3,0,2,SVP,1,0
2,64.0,5,5,2,2,2,7,0,4,0,2,SP,2,0
1,40.0,8,4,4,2,2,7,0,3,0,2,FDP,1,0
2,25.0,8,3,2,2,2,4,0,3,0,2,SVP,0,0
1,45.0,3,2,1,2,1,4,0,3,0,2,CVP,1,0
2,70.0,7,0,3,1,2,8,0,2,0,2,SVP,2,0
1,55.0,7,2,4,2,2,7,0,2,0,2,SP,1,0
1,18.0,2,2,1,2,1,5,0,2,0,2,SP,1,0
2,64.0,5,4,0,1,2,8,0,2,0,2,CVP,2,0
2,76.0,9,4,4,2,2,8,0,2,0,2,SVP,2,0
1,26.0,5,0,2,2,2,7,0,3,0,2,FDP,1,0
1,24.0,9,0,3,2,1,2,0,3,0,2,SP,1,0
2,87.0,9,4,4,2,2,8,0,2,0,2,EVP,2,0
1,70.0,9,1,4,2,2,7,0,3,0,2,SVP,2,0
2,73.0,5,2,4,1,2,8,0,4,0,2,SVP,2,0
1,60.0,9,0,1,2,2,1,0,2,0,2,SP,2,0
2,41.0,9,4,4,2,1,2,0,2,0,2,SVP,2,0
2,85.0,9,4,3,1,2,8,0,3,0,2,EVP,1,0
2,37.0,7,5,1,2,2,2,0,2,0,2,CVP,1,0
1,44.0,7,2,1,1,2,2,0,4,0,2,CVP,2,0
2,50.0,4,2,1,2,1,6,0,4,0,2,SP,2,0
2,77.0,2,5,4,2,2,8,0,2,0,2,SVP,2,0
1,38.0,7,2,1,3,2,7,0,1,0,2,CVP,2,0
2,74.0,6,4,1,1,2,8,0,4,0,2,SP,2,0
1,64.0,9,3,1,2,2,7,0,2,0,2,FDP,0,0
1,74.0,3,4,4,1,2,8,0,2,0,2,FDP,2,0
2,36.0,7,0,2,1,2,2,0,2,0,2,FDP,1,0
1,57.0,7,3,2,2,2,2,0,4,0,2,SP,2,0
2,54.0,4,3,4,2,2,2,0,2,0,2,SP,1,0
1,22.0,3,4,2,3,2,5,0,3,0,2,SP,2,0
2,64.0,8,4,4,2,2,7,0,4,0,2,SP,2,0
2,78.0,9,1,3,2,2,8,0,2,0,2,SP,2,0
2,75.0,7,2,4,2,2,1,0,4,0,2,GLP,2,0
1,32.0,9,5,2,2,2,7,0,3,0,2,SVP,2,0
1,53.0,7,2,4,1,2,7,0,2,0,2,FDP,0,0
1,50.0,7,2,4,2,2,7,0,2,0,2,CVP,1,0
1,26.0,9,0,2,2,2,2,0,2,0,2,CVP,1,0
1,70.0,9,5,4,3,2,8,0,2,0,2,SVP,1,0
1,53.0,9,3,4,1,2,7,0,3,0,2,FDP,2,0
1,49.0,4,2,1,1,2,2,0,3,0,2,SP,1,0
1,66.0,9,5,1,2,2,8,0,4,0,2,SP,2,0
1,61.0,9,3,2,2,2,7,0,2,0,2,SP,0,0
2,60.0,5,1,1,2,1,7,0,2,0,2,SVP,2,0
1,39.0,8,2,1,3,2,4,0,2,0,2,SVP,2,0
2,54.0,7,3,2,2,2,2,0,2,0,2,FDP,1,0
2,46.0,5,3,4,2,2,2,0,4,0,2,FDP,2,0
1,64.0,2,1,4,1,2,8,0,2,0,2,SP,1,0
1,32.0,7,5,4,2,2,5,0,2,0,2,GLP,1,0
2,38.0,7,3,1,3,2,2,0,2,0,2,FDP,0,0
2,82.0,8,5,1,2,2,8,0,2,0,2,CVP,2,0
2,39.0,5,3,1,1,2,2,0,2,0,2,SP,1,0
1,63.0,4,5,1,2,2,7,0,2,0,2,SP,1,0
1,39.0,7,5,4,2,2,7,0,2,0,2,EVP,1,0
2,70.0,9,1,4,2,2,8,0,2,0,2,SVP,1,0
1,26.0,9,0,2,2,2,2,0,2,0,2,GLP,1,0
2,49.0,9,1,1,2,1,2,0,4,0,2,CVP,2,0
1,76.0,9,4,4,1,2,8,0,2,0,2,SP,1,0
2,74.0,5,3,2,2,2,8,0,4,0,2,FDP,2,0
1,48.0,9,1,4,2,1,4,0,2,0,2,SP,1,0
1,61.0,9,4,3,2,2,8,0,2,0,2,SP,1,0
2,22.0,9,4,1,2,2,2,0,2,0,2,SVP,2,0
2,34.0,8,0,1,2,1,2,0,2,0,2,SVP,1,0
2,69.0,7,0,1,2,1,2,0,2,0,2,CSP,1,0
2,68.0,8,0,1,3,2,8,0,4,0,2,FDP,2,0
1,19.0,4,1,1,2,2,7,0,4,0,2,PdA,2,0
1,71.0,9,4,4,1,2,8,0,4,0,2,CVP,2,0
1,24.0,3,5,2,3,1,6,0,2,0,2,FDP,1,0
1,66.0,7,2,2,2,1,8,0,2,0,2,FDP,1,0
1,69.0,1,3,1,2,2,8,0,3,0,2,CVP,1,0
1,66.0,6,4,1,2,2,8,0,3,0,2,CVP,0,0
1,18.0,4,5,2,3,2,5,0,2,0,2,FDP,2,0
2,76.0,7,5,4,1,2,8,0,2,0,2,SVP,2,0
1,42.0,7,2,1,2,2,6,0,3,0,2,SP,1,0
1,67.0,9,2,4,2,2,8,0,2,0,2,SVP,2,0
1,74.0,5,1,4,3,2,1,0,2,0,2,FDP,1,0
1,68.0,7,3,4,3,2,7,0,2,0,2,FDP,2,0
1,63.0,3,4,2,2,2,6,0,2,0,2,FDP,1,0
2,38.0,5,2,2,2,2,2,0,2,0,2,SVP,2,0
2,39.0,4,2,2,2,2,2,0,2,0,2,SVP,2,0
2,50.0,8,3,0,2,1,2,0,2,0,2,FDP,2,0
2,36.0,7,4,2,2,2,2,0,4,0,2,FDP,2,0
2,65.0,7,3,1,2,2,8,0,2,0,2,CVP,2,0
1,54.0,7,2,1,2,2,7,0,4,0,2,CVP,2,0
1,62.0,9,4,1,2,1,4,0,4,0,2,SVP,0,0
2,56.0,8,5,4,1,2,7,0,2,0,2,SP,2,0
2,33.0,7,2,2,2,2,9,0,2,0,2,GLP,1,0
2,48.0,7,5,1,2,2,2,0,4,0,2,FDP,2,0
1,67.0,3,5,2,2,2,8,0,2,0,2,SVP,1,0
1,51.0,5,2,1,2,1,2,0,4,0,2,CVP,1,0
2,28.0,5,4,2,3,2,7,0,3,0,2,PdA,2,0
2,53.0,3,2,2,2,2,2,0,2,0,2,SVP,2,0
1,31.0,7,3,2,2,2,7,0,2,0,2,GLP,1,0
1,39.0,7,0,1,2,2,4,0,4,0,2,CVP,2,0
2,71.0,3,5,4,2,2,8,0,2,0,2,EVP,1,0
1,49.0,7,3,1,2,1,7,0,2,0,2,CVP,2,0
2,26.0,3,1,1,2,1,2,0,3,0,2,CSP,1,0
1,68.0,2,4,1,3,2,8,0,2,0,2,CVP,2,0
1,32.0,7,4,4,2,1,7,0,2,0,2,SP,1,0
1,67.0,3,4,2,2,2,8,0,4,0,2,FDP,2,0
1,47.0,9,2,1,2,2,7,0,2,0,2,FDP,2,0
1,75.0,9,4,1,3,2,2,0,3,0,2,CVP,2,0
2,28.0,8,1,4,2,2,2,0,2,0,2,EVP,2,0
1,81.0,9,4,1,1,1,8,0,2,0,2,CSP,2,0
2,49.0,8,3,2,2,2,7,0,2,0,2,FDP,1,0
2,57.0,5,2,4,1,2,2,0,2,0,2,FDP,2,0
1,74.0,9,4,1,2,2,8,0,4,0,2,SVP,1,0
2,26.0,9,0,2,2,1,2,0,2,0,2,SVP,0,0
1,63.0,9,5,2,2,1,4,0,2,0,2,SP,2,0
2,60.0,9,3,2,1,2,2,0,2,0,2,SVP,2,0
2,59.0,9,5,1,1,2,1,0,2,0,2,CVP,2,0
1,77.0,7,0,1,2,2,8,0,4,0,2,SVP,1,0
2,23.0,4,2,1,2,2,7,0,3,0,2,FDP,1,0
1,48.0,7,1,2,2,2,2,0,4,0,2,SP,2,0
1,64.0,4,0,0,1,2,4,0,4,0,2,SVP,1,0
1,33.0,4,0,2,2,2,2,0,2,0,2,SVP,2,0
2,28.0,9,2,1,2,2,7,0,4,0,2,SP,1,0
2,73.0,9,5,1,2,1,8,0,2,0,2,FDP,2,0
2,63.0,9,5,4,2,2,7,0,2,0,2,SP,1,0
1,23.0,4,4,1,2,2,5,0,3,0,2,SP,1,0
2,64.0,7,3,4,2,2,7,0,4,0,2,SVP,2,0
2,53.0,9,4,1,2,2,7,0,2,0,2,FDP,1,0
1,49.0,2,4,2,2,2,1,0,2,0,2,SVP,1,0
2,54.0,8,3,2,2,2,2,0,2,0,2,FDP,2,0
2,38.0,5,3,2,2,2,2,0,4,0,2,PdA,2,0
2,82.0,9,1,1,3,2,8,0,4,0,2,CVP,2,0
2,27.0,8,3,4,2,2,7,0,4,0,2,GLP,1,0
1,57.0,4,1,1,2,2,7,0,3,0,2,CVP,2,0
2,62.0,9,1,2,1,2,2,0,2,0,2,SVP,2,0
2,58.0,8,2,4,2,2,2,0,4,0,2,GLP,1,0
2,65.0,7,0,4,2,2,8,0,4,0,2,SP,2,0
1,52.0,9,4,2,2,2,7,0,4,0,2,SP,2,0
1,44.0,7,2,2,2,2,7,0,2,0,2,GLP,2,0
1,77.0,2,4,1,3,2,8,0,3,0,2,CVP,2,0
2,27.0,7,2,4,2,2,2,0,2,0,2,EVP,2,0
2,70.0,8,5,1,2,2,8,0,4,0,2,FDP,2,0
1,69.0,9,4,1,3,2,8,0,3,0,2,FDP,1,0
1,59.0,9,3,4,2,2,7,0,2,0,2,FDP,2,0
2,91.0,6,4,4,1,1,8,0,2,0,2,FDP,2,0
2,38.0,7,5,1,3,2,2,0,4,0,2,FDP,2,0
2,37.0,7,3,2,1,2,7,0,2,0,2,CVP,1,0
1,24.0,7,4,2,2,2,5,0,2,0,2,SP,1,0
2,50.0,9,5,4,2,2,2,0,2,0,2,SVP,2,0
1,71.0,3,2,1,2,2,8,0,4,0,2,FDP,1,0
1,33.0,7,0,4,3,2,2,0,3,0,2,FDP,1,0
2,50.0,8,2,4,2,2,2,0,4,0,2,SP,1,0
1,34.0,7,3,2,2,2,2,0,3,0,2,SP,2,0
1,20.0,4,5,4,2,2,5,0,2,0,2,FDP,1,0
2,54.0,7,4,4,2,2,6,0,2,0,2,GLP,2,0
2,45.0,7,2,1,2,2,2,0,2,0,2,FDP,1,0
1,63.0,7,2,1,1,2,4,0,4,0,2,FDP,0,0
1,52.0,9,3,1,2,1,4,0,2,0,2,SVP,2,0
1,31.0,7,3,2,2,2,7,0,2,0,2,SP,2,0
2,42.0,9,4,2,1,2,2,0,3,0,2,SVP,1,0
2,45.0,5,3,2,2,2,2,0,4,0,2,SVP,1,0
1,51.0,9,3,4,2,2,2,0,3,0,2,SVP,1,0
2,69.0,9,3,2,2,2,8,0,4,0,2,FDP,2,0
2,25.0,9,0,1,2,2,2,0,2,0,2,SVP,1,0
1,73.0,5,2,4,1,2,8,0,2,0,2,FDP,1,0
2,80.0,9,5,1,2,2,8,0,2,0,2,SVP,2,0
2,42.0,7,2,4,1,2,2,0,2,0,2,SP,2,0
2,18.0,4,2,1,2,2,5,0,4,0,2,CSP,2,0
1,52.0,7,2,4,2,2,7,0,4,0,2,GLP,2,0
2,67.0,7,0,4,2,2,7,0,4,0,2,FDP,2,0
2,75.0,9,4,0,3,2,8,0,3,0,2,FDP,2,0
1,19.0,4,5,2,2,2,5,0,2,0,2,SP,2,0
2,46.0,7,3,2,3,2,2,0,2,0,2,SP,2,0
2,66.0,9,4,4,2,1,7,0,3,0,2,SVP,2,0
1,35.0,5,4,1,2,2,2,0,3,0,2,SP,2,0
2,69.0,9,2,1,3,2,2,0,2,0,2,FDP,2,0
2,75.0,8,4,2,2,2,8,0,2,0,2,SVP,2,0
1,52.0,9,3,1,2,1,7,0,2,0,2,CSP,1,0
1,66.0,9,5,4,2,2,8,0,4,0,2,SP,2,0
1,26.0,7,1,1,2,2,2,0,2,0,2,SP,2,0
2,49.0,7,2,1,2,1,2,0,2,0,2,CVP,2,0
1,65.0,9,4,4,2,2,8,0,2,0,2,EVP,1,0
1,22.0,7,2,1,1,2,5,0,2,0,2,CVP,0,0
1,83.0,0,2,0,3,2,8,0,2,0,2,CVP,0,0
2,42.0,7,2,2,2,2,2,0,4,0,2,GLP,1,0
1,88.0,7,3,1,2,1,2,0,3,0,2,SP,2,0
2,46.0,3,0,2,3,2,2,0,2,0,2,FDP,1,0
2,25.0,3,1,1,3,1,2,0,2,0,2,SVP,1,0
1,49.0,2,5,1,3,2,7,0,3,0,2,FDP,2,0
2,67.0,8,5,1,1,2,8,0,2,0,2,SVP,2,0
1,19.0,4,2,2,3,2,2,0,3,0,2,SP,1,0
1,60.0,9,2,1,2,2,7,0,2,0,2,SVP,2,0
1,72.0,2,4,4,2,2,4,0,2,0,2,PdA,1,0
1,26.0,7,3,1,2,1,2,0,2,0,2,CSP,1,0
1,19.0,4,2,2,2,2,0,0,3,0,2,FDP,2,0
1,48.0,9,1,1,2,2,4,0,2,0,2,SVP,2,0
1,61.0,5,5,2,3,2,2,0,2,0,2,FDP,2,0
2,53.0,7,1,4,2,2,2,0,2,0,2,GLP,0,0
2,50.0,9,5,1,3,1,2,0,2,0,2,CVP,2,0
2,73.0,9,1,1,2,2,8,0,2,0,2,CVP,1,0
1,48.0,8,2,2,2,2,7,0,2,0,2,FDP,1,0
1,45.0,9,5,0,2,1,7,0,3,0,2,SVP,1,0
2,54.0,9,0,1,2,1,2,0,3,0,2,SVP,1,0
1,36.0,7,2,2,2,1,2,0,2,0,2,FDP,2,0
2,23.0,4,4,1,2,2,5,0,3,0,2,SP,1,0
2,37.0,5,3,4,2,2,2,0,2,0,2,GLP,1,0
1,45.0,7,2,2,2,2,5,0,3,0,2,GLP,1,0
2,36.0,9,1,3,2,2,2,0,3,0,2,SP,1,0
2,54.0,5,3,1,2,2,2,0,2,0,2,SP,2,0
1,32.0,4,2,0,3,2,7,0,2,0,2,SP,0,0
1,62.0,7,1,2,1,2,7,0,2,0,2,PdA,1,0
2,32.0,5,0,2,2,2,2,0,2,0,2,SVP,2,0
1,51.0,9,0,1,2,1,4,0,3,0,2,SP,1,0
1,18.0,2,0,1,1,2,5,0,4,0,2,SP,1,0
1,21.0,4,5,2,3,2,5,0,2,0,2,SP,2,0
1,67.0,7,3,0,2,2,7,0,4,0,2,SVP,1,0
2,81.0,7,2,4,1,2,8,0,4,0,2,FDP,2,0
1,87.0,6,4,1,2,2,8,0,4,0,2,CVP,2,0
2,54.0,8,0,4,2,2,2,0,4,0,2,SVP,0,0
2,50.0,7,3,3,2,2,2,0,2,0,2,EVP,1,0
2,63.0,9,3,1,2,2,2,0,2,0,2,CVP,1,0
2,65.0,7,2,3,2,2,7,0,3,0,2,FDP,2,0
1,51.0,9,5,1,3,2,7,0,2,0,2,CVP,1,0
1,26.0,7,3,1,2,1,2,0,2,0,2,SP,1,0
1,87.0,9,1,1,3,1,8,0,2,0,2,CVP,2,0
2,71.0,9,4,4,2,1,8,0,2,0,2,SVP,2,0
2,79.0,5,2,1,3,2,8,0,2,0,2,FDP,2,0
2,39.0,4,5,4,2,2,2,0,4,0,2,SP,1,0
1,74.0,7,4,1,2,2,8,0,2,0,2,SP,1,0
2,23.0,4,2,1,2,2,5,0,3,0,2,GLP,1,0
2,43.0,7,0,3,2,2,2,0,2,0,2,SVP,1,0
1,22.0,7,0,4,1,1,5,0,1,0,2,FDP,1,0
1,68.0,2,5,4,2,2,8,0,2,0,2,SP,1,0
2,68.0,7,4,1,2,2,8,0,2,0,2,GLP,1,0
2,41.0,7,5,1,2,1,2,0,4,0,2,SVP,2,0
2,35.0,7,3,2,2,2,2,0,2,0,2,SP,1,0
2,45.0,7,2,4,2,2,2,0,2,0,2,FDP,2,0
2,64.0,9,4,4,2,2,2,0,2,0,2,SVP,1,0
2,57.0,9,5,1,2,1,2,0,2,0,2,SVP,2,0
2,46.0,7,2,4,1,2,2,0,4,0,2,FDP,1,0
2,58.0,8,0,2,3,2,2,0,3,0,2,SVP,1,0
2,60.0,7,3,1,1,2,2,0,4,0,2,FDP,2,0
1,45.0,3,5,1,3,2,7,0,3,0,2,CVP,0,0
1,75.0,7,1,1,1,2,8,0,4,0,2,FDP,1,0
1,26.0,4,2,2,2,2,5,0,1,0,2,SP,2,0
1,80.0,9,4,4,2,2,8,0,2,0,2,SP,2,0
1,57.0,9,4,2,2,2,2,0,3,0,2,SVP,1,0
1,46.0,3,4,4,2,1,7,0,1,0,2,CVP,1,0
1,55.0,3,2,1,3,1,4,0,2,0,2,FDP,2,0
1,90.0,9,4,1,2,2,8,0,2,0,2,CVP,2,0
2,45.0,8,0,2,2,2,2,0,4,0,2,SP,1,0
2,34.0,5,5,2,2,2,2,0,2,0,2,SVP,2,0
1,53.0,4,5,1,1,2,2,0,2,0,2,SVP,1,0
1,74.0,9,4,1,2,2,8,0,2,0,2,SVP,1,0
1,58.0,7,3,2,2,2,2,0,3,0,2,FDP,2,0
1,44.0,7,3,1,1,2,7,0,2,0,2,SP,2,0
2,48.0,7,0,1,2,2,2,0,2,0,2,SP,2,0
2,61.0,5,3,2,2,2,7,0,2,0,2,SVP,2,0
1,65.0,9,3,4,2,2,8,0,4,0,2,SP,2,0
1,69.0,8,1,1,2,1,8,0,3,0,2,CSP,0,0
2,21.0,9,3,1,2,2,5,0,2,0,2,SP,1,0
2,87.0,5,1,1,2,1,8,0,4,0,2,CVP,2,0
2,58.0,5,5,2,3,2,2,0,2,0,2,CVP,1,0
2,35.0,5,0,3,2,1,2,0,2,0,2,FDP,2,0
2,70.0,8,0,4,1,1,8,0,4,0,2,SP,2,0
2,66.0,2,5,1,2,2,8,0,3,0,2,SVP,1,0
1,52.0,5,2,4,2,1,4,0,4,0,2,SVP,2,0
1,79.0,9,5,4,2,2,8,0,4,0,2,SP,2,0
1,58.0,9,4,1,3,2,7,0,2,0,2,FDP,2,0
2,60.0,5,4,2,2,2,6,0,3,0,2,SVP,2,0
2,66.0,9,2,1,3,2,2,0,2,0,2,CVP,2,0
1,43.0,4,3,1,2,2,7,0,2,0,2,GLP,2,0
2,50.0,9,3,1,2,2,2,0,2,0,2,FDP,0,0
2,60.0,4,3,1,2,2,7,0,2,0,2,SP,2,0
1,56.0,9,0,3,2,2,4,0,2,0,2,SVP,2,0
1,34.0,7,3,2,1,2,2,0,2,0,2,SP,1,0
2,54.0,5,2,1,2,2,2,0,4,0,2,EVP,2,0
2,54.0,2,4,1,1,2,2,0,1,0,2,SP,1,0
1,53.0,9,0,1,2,2,7,0,2,0,2,FDP,1,0
2,62.0,7,2,2,2,2,2,0,4,0,2,FDP,1,0
1,75.0,9,4,1,2,1,8,0,3,0,2,SVP,2,0
1,40.0,9,4,4,1,1,4,0,2,0,2,SVP,1,0
1,70.0,4,2,4,2,2,8,0,2,0,2,SP,2,0
2,51.0,8,3,2,2,2,2,0,2,0,2,SP,2,0
1,77.0,9,5,1,2,2,8,0,2,0,2,FDP,2,0
1,71.0,6,4,1,1,2,8,0,2,0,2,FDP,1,0
1,39.0,5,5,4,2,2,7,0,3,0,2,EVP,1,0
2,77.0,7,5,1,2,2,8,0,2,0,2,SVP,1,0
1,41.0,3,4,1,1,1,7,0,2,0,2,FDP,1,0
2,28.0,7,0,4,2,2,2,0,2,0,2,CVP,1,0
1,19.0,4,0,2,1,2,5,0,2,0,2,FDP,1,0
2,45.0,9,5,1,3,2,2,0,3,0,2,FDP,1,0
1,66.0,5,4,2,2,2,8,0,2,0,2,SVP,1,0
1,59.0,4,5,2,2,2,7,0,2,0,2,SP,2,0
2,19.0,5,4,2,3,2,6,0,3,0,2,SVP,1,0
2,58.0,5,2,1,2,2,2,0,4,0,2,SVP,1,0
2,63.0,9,0,4,2,1,2,0,4,0,2,SP,2,0
2,42.0,5,2,1,2,2,2,0,2,0,2,FDP,2,0
2,28.0,7,0,2,2,2,2,0,4,0,2,GLP,1,0
2,49.0,4,2,4,2,2,2,0,4,0,2,SVP,2,0
1,61.0,7,0,1,3,2,8,0,2,0,2,SP,2,0
1,49.0,7,3,2,3,2,2,0,2,0,2,SP,2,0
2,82.0,9,4,1,2,2,8,0,4,0,2,SP,2,0
1,55.0,9,2,1,2,2,4,0,2,0,2,SVP,2,0
2,29.0,9,1,2,2,2,7,0,4,0,2,SP,2,0
2,85.0,7,1,4,2,2,8,0,2,0,2,FDP,0,0
2,40.0,8,2,4,2,2,2,0,2,0,2,FDP,1,0
2,24.0,4,2,4,2,2,5,0,4,0,2,GLP,1,0
1,61.0,4,2,1,3,2,7,0,2,0,2,SVP,2,0
2,74.0,7,0,4,3,2,8,0,4,0,2,SVP,2,0
2,18.0,4,0,1,2,2,5,0,3,0,2,SVP,1,0
1,56.0,9,1,4,2,2,6,0,2,0,2,SP,2,0
1,21.0,4,4,1,1,2,5,0,2,0,2,CVP,2,0
1,28.0,5,2,1,2,2,2,0,3,0,2,FDP,1,0
2,77.0,5,5,4,2,2,7,0,2,0,2,FDP,2,0
2,50.0,9,2,2,2,2,2,0,4,0,2,SVP,2,0
2,60.0,7,2,2,2,2,2,0,2,0,2,SP,2,0
1,55.0,7,2,4,1,2,2,0,3,0,2,FDP,2,0
1,62.0,9,0,1,2,2,7,0,2,0,2,SVP,2,0
2,67.0,3,1,2,2,2,8,0,4,0,2,CVP,1,0
2,42.0,7,3,1,2,2,2,0,4,0,2,CVP,2,0
1,58.0,4,2,1,2,2,2,0,2,0,2,SVP,2,0
1,54.0,7,3,4,3,2,2,0,3,0,2,SP,1,0
1,66.0,4,2,2,2,2,8,0,4,0,2,SP,1,0
1,66.0,9,1,4,2,2,8,0,4,0,2,SVP,2,0
2,34.0,4,1,2,2,2,7,0,2,0,2,SVP,1,0
1,56.0,9,5,2,2,2,2,0,2,0,2,SVP,1,0
2,58.0,5,3,4,1,2,2,0,2,0,2,CVP,2,0
1,74.0,3,4,1,3,2,8,0,4,0,2,CVP,2,0
1,35.0,8,3,4,2,1,2,0,3,0,2,SP,2,0
2,37.0,0,2,0,1,2,0,0,4,0,2,FDP,1,0
2,71.0,7,3,4,2,2,8,0,2,0,2,FDP,1,0
1,69.0,3,2,4,2,2,4,0,2,0,2,FDP,2,0
2,77.0,8,5,4,1,2,8,0,2,0,2,SP,1,0
2,45.0,9,3,1,2,2,2,0,3,0,2,SVP,2,0
2,63.0,0,4,2,1,2,8,0,0,0,2,SVP,2,0
2,59.0,5,0,1,2,1,2,0,4,0,2,SP,2,0
2,83.0,9,4,1,1,2,8,0,0,0,2,FDP,1,0
2,75.0,9,5,4,2,2,8,0,2,0,2,SVP,2,0
2,69.0,5,5,4,2,2,8,0,4,0,2,SVP,2,0
2,85.0,9,4,1,2,1,8,0,3,0,2,CVP,2,0
1,65.0,3,5,4,1,2,7,0,4,0,2,FDP,0,0
2,70.0,8,1,4,2,2,8,0,4,0,2,SP,2,0
2,66.0,9,2,1,3,2,8,0,4,0,2,SVP,2,0
1,77.0,3,4,4,2,2,8,0,3,0,2,FDP,2,0
2,82.0,5,4,3,2,2,8,0,4,0,2,SP,2,0
2,84.0,8,5,4,2,2,8,0,2,0,2,SVP,2,0
1,51.0,6,4,2,2,2,7,0,2,0,2,SVP,2,0
1,63.0,3,2,2,2,2,4,0,2,0,2,FDP,1,0
2,55.0,9,1,1,2,2,2,0,3,0,2,SVP,2,0
1,51.0,9,0,2,2,2,2,0,2,0,2,SVP,1,0
1,71.0,9,2,1,2,2,8,0,2,0,2,CVP,0,0
1,46.0,9,0,1,2,2,7,0,4,0,2,SVP,2,0
2,76.0,3,4,1,3,2,8,0,3,0,2,SP,1,0
1,81.0,9,1,2,2,2,8,0,2,0,2,SVP,1,0
1,36.0,7,0,2,2,2,2,0,2,0,2,GLP,1,0
2,32.0,3,4,1,2,2,2,0,2,0,2,CVP,2,0
2,24.0,7,0,1,1,2,6,0,2,0,2,SVP,1,0
2,44.0,7,0,1,2,2,2,0,2,0,2,SVP,1,0
1,29.0,7,5,2,2,2,2,0,4,0,2,FDP,2,0
2,54.0,9,4,4,3,2,2,0,3,0,2,FDP,1,0
2,67.0,8,2,0,3,2,7,0,2,0,2,FDP,2,0
1,77.0,6,0,1,3,2,8,0,3,0,2,CVP,1,0
2,65.0,7,5,1,3,2,8,0,4,0,2,SP,2,0
1,79.0,2,4,4,2,2,8,0,2,0,2,FDP,1,0
2,26.0,8,1,2,2,1,2,0,4,0,2,SVP,2,0
2,24.0,9,2,2,3,2,5,0,4,0,2,FDP,2,0
2,64.0,7,2,4,2,2,2,0,2,0,2,FDP,1,0
2,63.0,7,3,4,2,2,6,0,4,0,2,PdA,2,0
2,55.0,2,2,1,2,2,5,0,4,0,2,SVP,2,0
2,72.0,7,5,2,3,2,7,0,2,0,2,SP,2,0
1,68.0,4,1,1,2,1,8,0,2,0,2,SVP,1,0
2,71.0,7,5,1,1,1,8,0,4,0,2,SVP,2,0
1,56.0,7,5,2,2,2,2,0,2,0,2,GLP,1,0
2,27.0,7,3,1,1,1,5,0,2,0,2,SVP,1,0
2,59.0,4,2,1,2,2,2,0,2,0,2,SVP,2,0
1,77.0,9,0,1,1,2,8,0,4,0,2,SVP,1,0
2,18.0,4,2,2,2,2,5,0,2,0,2,GLP,1,0
2,30.0,7,3,4,2,2,2,0,3,0,2,SP,2,0
1,58.0,3,5,4,2,2,7,0,3,0,2,SP,1,0
2,40.0,9,0,1,2,2,2,0,2,0,2,FDP,1,0
1,74.0,8,0,1,3,2,8,0,2,0,2,FDP,2,0
1,53.0,9,5,1,2,1,4,0,2,0,2,CSP,2,0
2,52.0,7,3,2,2,2,2,0,4,0,2,GLP,2,0
1,69.0,9,5,4,2,2,8,0,2,0,2,SVP,2,0
2,63.0,7,3,4,2,1,2,0,4,0,2,SVP,2,0
2,69.0,8,0,3,2,2,8,0,2,0,2,FDP,1,0
2,55.0,7,3,0,3,2,2,0,2,0,2,GLP,1,0
1,62.0,2,4,4,2,2,2,0,4,0,2,SVP,1,0
2,66.0,8,0,1,3,2,8,0,4,0,2,CVP,2,0
1,73.0,5,2,1,3,2,8,0,2,0,2,FDP,2,0
1,87.0,2,2,4,2,1,8,0,2,0,2,SVP,1,0
